,average_valence_number,average_electronegativity,average_atomic_number,mean wt CN_1,std_dev L-shaped CN_2,HF,std_dev wt CN_1,Barrier_energy
225,6.111111111111111,3.2666666666666666,13.666666666666666,0.3456663994438678,0.1502119416531615,-1.914,0.29149833481451,0.1000000000003638
227,6.111111111111111,3.171111111111111,18.11111111111111,0.3408496028910251,0.1037775540939958,-1.789,0.2756695056202251,0.4799999999995634
228,7.2,2.968,28.8,0.4009694574801727,0.0018187131052984,-0.363,0.4891071904885171,0.9600000000000364
229,7.2,3.624,22.4,0.4003276063993383,0.001000491914023,-1.721,0.4896305522388511,0.0799999999999272
230,6.111111111111111,3.171111111111111,14.555555555555555,0.3582813078279965,0.1331295720944184,-1.736,0.2786672157423147,0.2900000000008731
231,4.857142857142857,2.511428571428571,13.714285714285714,0.0,0.0,-2.232,0.0,0.1399999999998726
232,5.285714285714286,2.55,14.142857142857142,0.0,0.0,-1.509,0.0,0.1033333333331635
233,6.111111111111111,2.727777777777778,21.666666666666668,0.3136219277853644,0.2483594010777647,-0.657,0.3823687441336453,0.3900000000003274
234,6.111111111111111,2.8233333333333333,20.77777777777778,0.2049612360481112,0.3384305311974471,-0.823,0.2941935889952685,0.1099999999996725
235,4.857142857142857,2.4214285714285717,21.428571428571427,0.0,0.0,-2.427,0.0,0.1100000000001273
238,7.2,3.624,16.0,0.4003431681627709,0.000851410208869,-1.855,0.489617853143005,0.0800000000008367
239,6.111111111111111,2.727777777777778,18.11111111111111,0.3099128406970451,0.240532978567029,-0.641,0.3792108146375741,0.6999999999998181
240,6.111111111111111,2.811111111111112,23.666666666666668,0.4218814125354744,0.1958032883387981,-0.896,0.2532280626601915,0.1000000000003638
241,4.857142857142857,2.265714285714286,16.0,0.0,0.0,-1.495,0.0,0.3099999999999454
242,6.6,3.51,11.8,0.4000805161117034,9.086573967440008e-05,-2.928,0.4898322149121944,0.0900000000001455
243,6.111111111111111,2.811111111111112,20.11111111111111,0.4227322311238787,0.2058273627169462,-0.876,0.2568590959648526,0.089999999999236
244,4.857142857142857,2.1757142857142857,23.714285714285715,0.0,0.0,-1.645,0.0,0.1700000000000727
246,6.111111111111111,3.2666666666666666,15.666666666666666,0.3873122413573567,0.1346087719617202,-1.916,0.300673129750368,0.0999999999985448
248,6.111111111111111,2.7155555555555555,24.55555555555556,0.440892669403015,0.1890391557569886,-0.725,0.2426218970240068,0.4299999999993815
249,6.111111111111111,3.171111111111111,20.11111111111111,0.387756228539416,0.1021389389095869,-1.791,0.2814038055056613,0.4600000000009459
250,6.111111111111111,2.7155555555555555,21.0,0.4404291310404855,0.2032169516245635,-0.71,0.2428137131108324,0.1099999999996725
251,6.111111111111111,3.171111111111111,16.555555555555557,0.4059812391051469,0.1320416169636147,-1.738,0.2862656753625666,0.2699999999986175
254,6.1,2.404,25.3,0.0004195585872109,0.0003511737649731,-1.024,0.0004375458103542,0.7200000000002547
259,7.055555555555555,2.364444444444445,20.72222222222222,0.0072845953466143,0.0489444188955897,-0.277,0.0080066714264352,0.5799999999999272
261,11.272727272727272,2.4372727272727275,38.72727272727273,0.2597816361238669,0.3037588372449185,-0.009,0.3597191174084863,0.3533333333337699
264,8.545454545454545,2.3836363636363638,21.454545454545453,0.2574626557096129,0.1270981188863948,-0.206,0.4094335423160788,0.9899999999997816
266,14.909090909090908,2.3718181818181816,32.90909090909091,0.2684863752925011,0.1458823683383187,-0.178,0.4147370422440032,0.9899999999997816
267,11.272727272727272,2.375454545454545,26.363636363636363,0.2667654264302406,0.1203867791309988,-0.148,0.4212748251066462,0.9899999999997816
273,16.0,2.563333333333333,34.0,0.0,0.0,-0.294,0.0,0.9400000000000546
276,16.0,2.563333333333333,34.0,0.0,0.0,-0.134,0.0,0.900000000000091
281,12.666666666666666,2.6300000000000003,28.0,0.0,0.0,-0.382,0.0,0.9300000000000636
282,9.333333333333334,2.64,22.0,0.0,0.0,-0.352,0.0,0.5599999999999454
285,7.818181818181818,2.352727272727273,23.272727272727277,0.0,7.066370511177835e-14,-1.767,0.0,0.8966666666668365
286,16.0,2.4633333333333334,40.0,0.0,0.0,-0.16,0.0,0.9900000000000092
293,7.818181818181818,2.339090909090909,28.181818181818183,0.0,5.117627771518513e-14,-1.752,0.0,0.7733333333329332
298,8.666666666666666,2.3366666666666664,36.0,0.0001073367693731,1.133248087176281e-05,-2.354,0.0,0.966666666666697
302,12.666666666666666,2.52,44.66666666666666,0.0,0.0,-0.442,0.0,0.7100000000000364
307,9.333333333333334,2.5866666666666664,38.66666666666666,0.0,0.0,-0.658,0.0,0.7300000000000182
308,9.333333333333334,2.5866666666666664,38.66666666666666,0.0,0.0,-0.538,0.0,0.7199999999997999
313,9.333333333333334,2.86,36.0,0.0,0.0,-1.292,0.0,0.7000000000000455
317,12.666666666666666,2.42,50.66666666666666,0.0,0.0,-0.287,0.0,0.7300000000000182
322,3.8181818181818175,2.2809090909090908,11.272727272727272,0.2682974529193304,0.0,-1.211,0.3885451227221932,0.8900000000000242
323,3.8181818181818175,2.2045454545454546,17.818181818181817,0.2689265922465527,0.0,-1.274,0.388882994255733,0.8066666666668425
326,3.727272727272727,2.3490909090909096,11.181818181818182,0.2641285998617091,0.0,-1.947,0.3864153097446143,0.6699999999999212
327,8.666666666666666,2.4766666666666666,21.33333333333333,0.000172725538089,2.659223052116833e-05,-1.703,9.247368354490147e-05,0.4366666666667242
330,11.333333333333334,2.676666666666667,26.666666666666668,2.530331624887884e-05,2.1073250218466657e-05,-0.517,1.7892146506089982e-05,0.5799999999999272
331,9.333333333333334,2.553333333333333,24.666666666666668,0.0,0.0,-1.326,0.0,0.6099999999999
332,9.666666666666666,2.583333333333333,25.0,0.0,0.0,-1.009,0.0,0.6900000000000546
333,9.333333333333334,2.4833333333333334,30.666666666666668,0.0,0.0,-1.512,0.0,0.6300000000001091
335,14.0,2.313333333333333,38.0,8.420950437317709e-05,1.0373402747922605e-05,-0.286,3.2706891823496774e-05,0.2599999999999909
340,12.666666666666666,2.3866666666666667,36.66666666666666,0.0,0.0,-0.877,0.0,0.650000000000091
341,13.0,2.4166666666666665,37.0,0.0,0.0,-0.657,0.0,0.7100000000000364
