,average_valence_number,average_electronegativity,average_atomic_number,Gap,std_dev wt CN_1,HF,mean wt CN_1,Barrier_energy
439,14.0,2.243333333333333,32.0,0.0,0.0013721381401906,-0.402,0.0011022784912784,0.6700000000000728
440,14.0,1.9933333333333332,42.0,0.0,0.0087586797139948,-0.238,0.0046817112357508,0.9199999999999212
441,14.0,1.9933333333333332,42.0,0.0,0.0272744443950243,-0.237,0.0127099818648101,0.8300000000000788
442,14.0,1.9933333333333332,42.0,0.0,0.0012019545511206,-0.224,0.0006424717321095,0.6999999999999696
444,6.0,2.793333333333333,32.666666666666664,1.503,0.0,-1.349,0.0,0.8000000000001819
445,9.333333333333334,2.783333333333333,38.66666666666666,1.244,1.7892146506089982e-05,-1.121,1.265165812443942e-05,0.8399999999999181
446,4.666666666666667,2.7622222222222224,9.77777777777778,0.0,0.3987509440636461,-1.852,0.2379936194906095,0.0533333333334364
448,12.22222222222222,2.103333333333333,32.44444444444444,0.7,0.0076324192406874,-0.865,0.0040796996901248,0.8666666666666364
449,12.22222222222222,1.8533333333333333,42.44444444444444,0.358,0.0063838647190914,-0.557,0.0034123192260505,0.9066666666667516
451,7.777777777777778,2.173333333333334,25.33333333333333,0.0,0.0044211663998659,-0.513,0.0023632128454592,0.9333333333330908
452,13.333333333333334,2.1566666666666667,35.333333333333336,0.0,0.002976903610533,-0.444,0.0015912219120092,0.8233333333329634
453,13.333333333333334,2.1566666666666667,35.333333333333336,0.0,0.0028430511829187,-0.443,0.0015196747799349,0.7666666666668789
454,13.333333333333334,2.1566666666666667,35.333333333333336,0.0,0.0274089918319738,-0.433,0.0142331190525574,0.7800000000002001
456,14.0,2.31,54.66666666666666,0.706,1.7892146506089982e-05,-0.385,2.530331624887884e-05,0.8466666666666546
457,13.333333333333334,1.9066666666666667,45.333333333333336,0.0,0.024386107684686,-0.186,0.0096584899090988,0.8099999999999454
460,8.666666666666666,2.223333333333333,24.0,0.505,0.0,-1.096,0.0,0.689999999999903
461,9.0,2.2533333333333334,24.33333333333333,0.013,0.0,-0.794,0.0,0.6000000000000606
462,9.0,2.2533333333333334,24.33333333333333,0.0,0.0,-0.78,0.0,0.7700000000000576
463,14.0,2.2366666666666664,36.0,0.0,0.0001763130196825,-0.357,9.424327321137884e-05,0.8033333333331333
464,14.0,2.2366666666666664,36.0,0.0,0.0356381211096241,-0.349,0.0134479368910786,0.7999999999997272
465,9.333333333333334,2.4966666666666666,41.333333333333336,1.402,0.0,-0.724,0.0,0.929999999999912
466,14.0,1.9866666666666664,46.0,0.0,0.0017347748282465,-0.208,0.0009272761500711,0.7900000000001152
467,14.0,1.9866666666666664,46.0,0.0,0.0341458012582343,-0.204,0.0133869783257422,0.7266666666664605
468,8.666666666666666,2.1533333333333333,30.0,0.613,0.0,-1.478,0.0,0.7033333333333758
469,9.0,2.06,47.0,0.0,0.0,-0.67,0.0,0.9633333333333668
472,8.666666666666666,2.0733333333333337,30.0,0.093,0.0,-0.921,0.0,0.7166666666667728
473,9.0,2.103333333333333,30.33333333333333,0.0,0.0,-0.594,0.0,0.9533333333333758
474,9.0,2.103333333333333,30.33333333333333,0.0,0.0,-0.584,0.0,0.7199999999999515
475,9.333333333333334,2.3466666666666667,47.333333333333336,1.141,0.0,-0.419,0.0,0.9266666666667334
476,6.666666666666667,2.344444444444445,18.444444444444443,0.0,0.145481038561995,-0.194,0.0662330155782356,0.5033333333334061
479,8.666666666666666,2.0033333333333334,36.0,0.208,0.0,-1.12,0.0,0.8166666666666819
480,12.333333333333334,2.0500000000000003,53.0,0.0,0.0,-0.561,0.0,0.7533333333334061
481,12.0,2.063333333333333,36.0,0.0,0.0,-0.921,0.0,0.5133333333333212
482,12.0,2.063333333333333,36.0,0.065,0.0,-0.817,0.0,0.5700000000001637
483,12.333333333333334,2.0933333333333333,36.333333333333336,0.12,0.0,-0.502,0.0,0.6733333333334031
484,12.333333333333334,2.0933333333333333,36.333333333333336,0.0,0.0,-0.5,0.0,0.6599999999999303
485,12.666666666666666,2.3366666666666664,53.333333333333336,1.037,0.0,-0.324,0.0,0.6166666666667879
486,12.0,1.9933333333333332,42.0,0.0,0.0,-1.129,0.0,0.7933333333332939
487,12.0,1.9933333333333332,42.0,0.262,0.0,-1.017,0.0,0.6766666666666575
488,6.666666666666667,2.8466666666666662,11.77777777777778,3.597,0.3390042233944878,-1.417,0.2397156180341503,0.819999999999709
490,8.666666666666666,2.3833333333333333,21.33333333333333,2.865,0.4629631133767293,-1.115,0.3455428733591617,0.8299999999999272
