,average_valence_number,std_dev wt CN_1,average_electronegativity,average_atomic_number,thickness,mean q2 CN_12,uc_area,Barrier_energy
851,4.333333333333333,0.0,1.4833333333333332,19.666666666666668,5.169,0.0019459209991707,14.923,0.7433333333333394
856,10.666666666666666,0.0,2.3800000000000003,32.0,5.325,0.0,18.197,0.7933333333333698
858,6.666666666666667,0.0,2.9333333333333336,16.666666666666668,2.35,0.0,22.997,0.2199999999997999
892,3.333333333333333,0.0,2.103333333333333,18.666666666666668,5.267,0.0,15.889,0.943333333333309
895,6.0,0.4333915488114455,2.9314285714285715,12.571428571428571,4.873,0.0,33.91,0.2700000000004365
898,10.571428571428571,0.2291267517180825,2.565714285714286,59.71428571428572,6.306,0.0,54.272,0.0333333333334546
900,5.714285714285714,0.4286354956968098,2.922857142857143,12.285714285714286,4.459,0.0,40.744,0.3000000000001819
902,5.714285714285714,0.3327136702550369,2.922857142857143,12.285714285714286,7.099,0.0,22.679,0.553333333333588
942,3.4285714285714284,0.0,1.7899999999999998,24.857142857142858,8.342,0.0012571785934505,11.452,0.0199999999998302
946,13.0,0.0,2.005714285714286,41.285714285714285,7.918,0.0011908144053551,12.801,0.6933333333334607
951,5.333333333333333,0.0,2.51,21.33333333333333,6.237,0.0,11.338,0.7933333333333698
954,11.0,0.0,2.54,26.33333333333333,5.098,0.0,17.118,0.4333333333332423
955,11.0,0.0,2.39,32.333333333333336,5.14,0.0,18.972,0.3799999999999575
960,6.428571428571429,0.0,2.138571428571429,19.857142857142858,8.454,0.0,9.24,0.5
975,13.428571428571429,0.0,2.275714285714286,31.428571428571427,7.744,0.0,11.455,0.3266666666668243
976,13.428571428571429,0.0,2.018571428571428,41.71428571428572,7.962,0.001285078031261,13.418,0.7633333333334728
994,5.333333333333333,0.0,2.32,24.0,2.872,0.0,28.028,0.2433333333333394
1002,9.5,0.0011014952390503,2.4458333333333333,40.833333333333336,2.746,0.0,42.457,0.7833333333337578
1017,7.333333333333333,0.0,3.1,14.666666666666666,4.164,0.0,10.743,0.2300000000000182
1018,7.333333333333333,0.0,2.813333333333333,17.333333333333332,4.482,0.0,13.807,0.2400000000002364
1022,14.0,0.0,2.2133333333333334,44.0,5.912,0.0,19.242,0.6666666666666666
1023,5.0,1.7892146506089982e-05,1.63,20.33333333333333,5.955,0.0011338533651059,14.324,0.3500000000000606
1024,5.0,9.294241516554436e-05,1.6833333333333336,15.0,3.953,0.0058496402421108,13.145,0.3800000000000333
1026,5.0,0.0277953338143714,1.95,15.0,3.24,0.0057085671267464,16.325,0.2366666666667546
1027,5.0,0.0001430727218744,1.6666666666666667,17.666666666666668,5.059,0.0034308519782226,13.599,0.519999999999906
1028,8.333333333333334,0.0,1.62,29.666666666666668,4.437,0.008312244723749,18.262,0.4933333333331878
1029,5.0,1.7892146506089982e-05,1.5766666666666669,26.33333333333333,5.282,0.0071045648906916,15.417,0.3199999999999363
1030,6.333333333333333,0.0,3.026666666666667,13.666666666666666,4.282,0.0,11.767,0.2200000000002546
1036,9.333333333333334,0.0008626577989884,2.263333333333333,24.666666666666668,3.393,0.0,17.245,0.6466666666665333
1037,2.6666666666666665,1.7892146506089982e-05,1.43,27.33333333333333,6.209,0.0038256365028595,20.087,0.0933333333333242
1039,6.0,5.059903832958675e-05,1.2733333333333334,39.333333333333336,6.144,0.006069688083657,27.178,0.4933333333333394
1042,6.0,0.0001251805753683,1.7666666666666666,21.33333333333333,4.242,0.000133184450335,22.985,0.5166666666664241
1047,8.666666666666666,0.0,3.0766666666666667,16.0,4.338,0.0,11.738,0.0966666666666545
1056,15.0,0.0,2.115,42.0,1.513,0.0,12.892,0.8920000000000528
1057,8.666666666666666,0.0,3.0666666666666664,22.0,4.693,0.0,13.986,0.0933333333335516
1058,8.666666666666666,0.0,2.78,24.666666666666668,4.539,0.0,18.783,0.2400000000002364
1061,4.0,0.0,2.54,6.0,0.0,0.0,5.457,0.3123333333333751
1063,7.333333333333333,0.0,2.92,34.0,4.731,0.0,15.775,0.5733333333335698
1066,10.0,0.0,2.295,24.0,1.361,0.0,10.538,0.6210000000000567
1068,15.0,0.0,2.055,42.0,1.56,0.0,13.467,0.8176666666665824
1069,5.333333333333333,0.4377427517088914,2.973333333333333,10.0,4.375,0.0,13.94,0.2533333333332545
1070,14.0,0.0,2.275,57.0,0.394,0.0,17.256,0.6966666666667152
1071,14.0,0.0,2.05,66.0,0.513,0.0,19.388,0.7566666666667364
